,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2010-12-20,42.44361049628191,42.78537685690604,42.39847163581772,42.75958251953125,5549500,0.0,0.0,False
2010-12-21,42.798270518631725,42.88854822697378,41.992216037173314,42.17277145385742,7830800,0.0,0.0,False
2010-12-22,42.211462322790595,42.37912303972973,42.05025141951698,42.353328704833984,3977600,0.0,0.0,False
2010-12-23,42.33398121012891,42.508086808738305,42.24370350421796,42.35977554321289,3297400,0.0,0.0,False
2010-12-27,42.32753915810133,42.37267801933347,42.17922786538153,42.185672760009766,2358500,0.0,0.0,False
2010-12-28,42.04380927002317,42.25660888187952,42.03091456010789,42.09539794921875,3071200,0.0,0.0,False
2010-12-29,42.19857297053145,42.411367650835395,42.12763977050782,42.12763977050781,3248600,0.0,0.0,False
2010-12-30,42.11473495909689,42.3146398253673,41.97286857650704,41.992218017578125,3507400,0.0,0.0,False
2010-12-31,41.94708432309019,42.26950617055508,41.934184694122095,42.12763977050781,2977400,0.0,0.0,False
2011-01-03,42.50164153429188,42.617708652480346,42.30173668462452,42.39846420288086,6787300,0.0,0.0,False
2011-01-04,42.62416469905298,42.68220318640079,41.992220670924944,42.17922592163086,7897100,0.0,0.0,False
2011-01-05,42.37269037651125,43.12715652845981,42.27596281144311,42.94015121459961,10381900,0.0,0.0,False
2011-01-06,43.01751716303832,43.17227825381161,42.804717588371055,43.10134506225586,7648900,0.0,0.0,False
2011-01-07,43.08845547078422,43.08845547078422,42.72089476170064,42.81117248535156,4899100,0.0,0.0,False
2011-01-10,42.64350269089589,42.76602454115902,42.45649746882909,42.5919189453125,5220500,0.0,0.0,False
2011-01-11,42.778924905182905,43.043313160239364,42.56613024206498,42.77248001098633,4686400,0.0,0.0,False
2011-01-12,43.01751495453293,43.24965903865785,42.914342539236365,43.03041458129883,5265100,0.0,0.0,False
2011-01-13,43.01106670256979,43.50114922237665,42.97882747401692,43.146488189697266,7943000,0.0,0.0,False
2011-01-14,43.301250314467616,43.30770012823908,42.9272398319858,43.06265640258789,5986100,0.0,0.0,False
2011-01-18,42.856301466034736,43.30124508698815,42.817612427609504,42.9272346496582,6066000,0.0,0.0,False
2011-01-19,42.991724739341876,43.004624367343546,42.359780720724586,42.49519729614258,7872400,0.0,0.0,False
2011-01-20,42.52099163237933,42.77248026097939,42.43715880966824,42.49519729614258,7131000,0.0,0.0,False
2011-01-21,42.682198904141444,42.76602679993718,42.34687748142615,42.47584915161133,5564400,0.0,0.0,False
2011-01-24,42.424273492245405,42.67576217651367,42.301751597941696,42.67576217651367,4713700,0.0,0.0,False
2011-01-25,42.566139187468224,42.72090031674111,42.39847842755816,42.411373138427734,4986100,0.0,0.0,False
2011-01-26,42.48874683517378,42.58547436464709,42.25015291844182,42.46940231323242,6797600,0.0,0.0,False
2011-01-27,42.3855747289001,42.52743619745434,42.205014376640385,42.27594757080078,6819700,0.0,0.0,False
2011-01-28,42.205006326690736,42.45649490537676,41.34736818592935,41.527923583984375,10455700,0.0,0.0,False
2011-01-31,41.49570019729167,41.70849984563214,41.32803942104451,41.469905853271484,8666100,0.0,0.0,False
2011-02-01,41.61175727331286,42.0051122681167,41.46344599841284,41.947078704833984,7138100,0.0,0.0,False
2011-02-02,41.55372375226063,41.8245568873878,41.29578532462062,41.68914031982422,8221000,0.0,0.0,False
2011-02-03,41.59885835741401,41.708480579035424,41.27643658575163,41.38605880737305,6693300,0.0,0.0,False
2011-02-04,41.36671911875753,41.450547018062906,41.05074466328259,41.16681671142578,8423900,0.0,0.0,False
2011-02-07,41.23775249232651,41.257097014937266,40.79280879321241,41.06364440917969,8157900,0.0,0.0,False
2011-02-08,41.02496361465341,41.44411062657626,40.95403040005065,41.3796272277832,6064800,0.0,0.0,False
2011-02-09,41.515045804235264,41.760089618911046,41.25066238075185,41.54084014892578,6132000,0.0,0.0,False
2011-02-10,40.934672720960734,41.3925135608794,40.586456575631,40.85729217529297,15759300,0.0,0.0,False
2011-02-11,40.3801177418468,41.282897578641816,40.34142868848425,41.18617248535156,9016500,0.0,0.0,False
2011-02-14,41.24420474055592,41.48279869385543,40.73477759903574,40.84440231323242,9108700,0.0,0.0,False
2011-02-15,40.812145417150205,41.56016131358956,40.66383170838355,41.49567794799805,9487900,0.0,0.0,False
2011-02-16,41.328014278608954,41.579507749864405,41.16680587626612,41.24418640136719,8043300,0.0,0.0,False
2011-02-17,40.8057128018154,41.727839585714804,40.76702375010847,41.72138977050781,10851000,0.0,0.0,False
2011-02-18,41.59885181450986,41.59885181450986,40.75410602006301,40.889522552490234,14023700,0.0,0.0,False
2011-02-22,40.40590357648398,40.96691687107357,40.34786754877586,40.72187805175781,9637500,0.0,0.0,False
2011-02-23,40.75412136520229,41.12168206869229,40.5606687517681,40.580013275146484,9527000,0.0,0.0,False
2011-02-24,40.52842866075373,40.75412544894564,40.43815092943045,40.644500732421875,9120900,0.0,0.0,False
2011-02-25,40.61870188999684,41.199059688981684,40.55421605018746,41.012054443359375,6523300,0.0,0.0,False
2011-02-28,41.128117256969645,41.244189282671265,40.86373152284545,40.895973205566406,8022500,0.0,0.0,False
2011-03-01,41.07008752598185,41.23774823758767,40.74766572969091,40.760562896728516,8086400,0.0,0.0,False
2011-03-02,40.90351759942221,40.92950930923056,40.63710877065132,40.89701843261719,7061400,0.48,0.0,False
2011-03-03,41.05946711985846,41.57279228714281,40.936010203642006,41.423343658447266,8445800,0.0,0.0,False
2011-03-04,41.44282133663075,41.50130142937701,40.95548805664702,41.19590759277344,7662000,0.0,0.0,False
2011-03-07,41.21541377530084,41.319378143633614,41.06596515074161,41.24140548706055,7018900,0.0,0.0,False
2011-03-08,41.13744387968409,41.520812978398546,41.13744387968409,41.449337005615234,7520000,0.0,0.0,False
2011-03-09,41.390851087653544,42.1251007796325,41.29988258184668,42.008140563964844,7746100,0.0,0.0,False
2011-03-10,41.806717440253955,42.14460480307459,41.663770433197804,41.86520004272461,8663100,0.0,0.0,False
2011-03-11,41.98214885410406,42.164085865717794,41.80021184249033,42.008140563964844,6875600,0.0,0.0,False
2011-03-14,41.75472913026223,41.865190183187565,41.31937664950093,41.676753997802734,5896600,0.0,0.0,False
2011-03-15,41.22190190002327,41.35185795311733,40.74106772589244,40.94249725341797,8730100,0.0,0.0,False
2011-03-16,40.86453702561083,40.884029571948844,40.3187234197898,40.487667083740234,8406300,0.0,0.0,False
2011-03-17,40.87754301817773,41.104964377530514,40.65012165882495,40.988006591796875,6753400,0.0,0.0,False
2011-03-18,41.254390084300105,41.33236271959384,40.87102111593996,41.09194564819336,8427000,0.0,0.0,False
2011-03-21,41.48832758190983,41.780730679427805,41.26090625544903,41.65077209472656,6524500,0.0,0.0,False
2011-03-22,41.59877201102885,41.61826950899004,41.4753176017414,41.546791076660156,5038200,0.0,0.0,False
2011-03-23,41.55329440380006,41.81970322571992,41.423338336806175,41.715736389160156,3908000,0.0,0.0,False
2011-03-24,41.81970322571992,41.89767835313974,41.696243846658106,41.715736389160156,4146500,0.0,0.0,False
2011-03-25,41.70925878527197,41.89119586427292,41.553310947052005,41.57280349731445,5048600,0.0,0.0,False
2011-03-28,41.598780551973555,42.07961978551826,41.572791318805955,41.80670928955078,4971000,0.0,0.0,False
2011-03-29,41.852214287287765,41.98216793825394,41.60529541007242,41.68976974487305,5163800,0.0,0.0,False
2011-03-30,41.97564435205397,42.449984321252664,41.86518331724439,42.26804733276367,5794900,0.0,0.0,False
2011-03-31,42.29404765012558,42.38502113096611,41.813213318091044,41.852203369140625,7403500,0.0,0.0,False
2011-04-01,42.151095868132685,42.50847075318756,41.89118370610323,42.378517150878906,6350000,0.0,0.0,False
2011-04-04,42.190074989575244,42.3135343644937,42.14459073945973,42.294036865234375,4210300,0.0,0.0,False
2011-04-05,42.22906286170907,42.68391035030984,42.18357860859017,42.61243438720703,5762300,0.0,0.0,False
2011-04-06,42.56695126927725,42.807365917569264,42.56695126927725,42.722896575927734,3815300,0.0,0.0,False
2011-04-07,42.61891188593001,42.911314790540104,42.592925143547184,42.83333969116211,6105100,0.0,0.0,False
2011-04-08,42.729388628055595,42.88533390873954,42.46297735603489,42.709896087646484,4076700,0.0,0.0,False
2011-04-11,42.69690328964379,43.112760730307,42.67091157992588,42.91133117675781,4385100,0.0,0.0,False
2011-04-12,42.74238174399306,43.3466752800757,42.59942983864281,43.255706787109375,7492900,0.0,0.0,False
2011-04-13,43.26220102045073,43.42464544757101,43.0932574281707,43.17772674560547,4203200,0.0,0.0,False
2011-04-14,43.106255232966,43.45064161809322,42.963308286628155,43.34017562866211,4207700,0.0,0.0,False
2011-04-15,43.33368098320938,43.62607899617508,43.171236541026005,43.60658645629883,5398300,0.0,0.0,False
2011-04-18,43.35968569262348,43.74955147930399,43.17124948828853,43.632591247558594,5668400,0.0,0.0,False
2011-04-19,43.697574618130574,43.697574618130574,43.210241072203466,43.41167068481445,4973900,0.0,0.0,False
2011-04-20,43.70406941897568,43.85351558197276,43.5221323731987,43.74955368041992,4292200,0.0,0.0,False
2011-04-21,43.87949910291583,43.87949910291583,43.567608499085246,43.80152893066406,3876100,0.0,0.0,False
2011-04-25,43.63258633758122,43.71055651169587,43.43115182049065,43.55461120605469,4197500,0.0,0.0,False
2011-04-26,43.46364229398839,44.08742846816697,43.437650583721144,43.9964599609375,6600000,0.0,0.0,False
2011-04-27,44.00946593916685,44.34734831650722,43.96398167765155,44.13941955566406,5939200,0.0,0.0,False
2011-04-28,44.13941016006195,45.43246671139363,44.10042507489377,45.302513122558594,12755900,0.0,0.0,False
2011-04-29,45.23754660805403,45.44547537188742,44.607261148411745,44.763206481933594,8034200,0.0,0.0,False
2011-05-02,44.99061804260962,45.14656829974737,44.854165285672856,45.036102294921875,6235200,0.0,0.0,False
2011-05-03,44.75671009192783,45.21805191040039,44.75671009192783,45.21805191040039,6107500,0.0,0.0,False
2011-05-04,45.185568126556014,45.43898118031311,45.02962277595472,45.37400436401367,8129500,0.0,0.0,False
2011-05-05,45.09458583959169,45.28302201958127,44.4837930463435,44.724212646484375,7642700,0.0,0.0,False
2011-05-06,45.2570277005323,45.45195807874461,44.951631321513666,45.010108947753906,6792600,0.0,0.0,False
2011-05-09,45.25053626061543,45.47146334254009,45.146574365966224,45.367496490478516,5763100,0.0,0.0,False
2011-05-10,45.36099246938957,45.562426984352925,45.36099246938957,45.503944396972656,6118300,0.0,0.0,False
2011-05-11,45.386973925197694,45.9912674187341,45.35448801280326,45.61439514160156,6167300,0.0,0.0,False
