,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2010-10-26,16.871291314408996,16.99115143111369,16.792763087938887,16.908489227294922,10289600,0.0,0.0,False
2010-10-27,16.788625105626696,16.811357245670315,16.588169821596615,16.745227813720703,8974000,0.0,0.0,False
2010-10-28,16.803083367547465,16.88367852748254,16.6501594200616,16.76175308227539,6505600,0.0,0.0,False
2010-10-29,16.726624933166423,16.84028402468287,16.666694906010665,16.829952239990234,8051600,0.0,0.0,False
2010-11-01,16.92088738482028,16.945686518050575,16.654302615033394,16.75969696044922,7583200,0.0,0.0,False
2010-11-02,16.904349628190115,16.995276594685823,16.844419595357873,16.89401626586914,7117600,0.0,0.0,False
2010-11-03,16.88988592066199,16.98081289821399,16.730760950808623,16.910551071166992,7029200,0.0,0.0,False
2010-11-04,17.094475937903344,17.253599352953184,17.028346501218326,17.23706817626953,9876000,0.0,0.0,False
2010-11-05,17.201935171564493,17.381725311279297,17.201935171564493,17.381725311279297,9038800,0.0,0.0,False
2010-11-08,17.288729970319217,17.325926296305354,17.144070759334387,17.278396606445312,7300400,0.0,0.0,False
2010-11-09,17.28666775074386,17.29493412879327,17.12754273243089,17.19367218017578,9705200,0.0,0.0,False
2010-11-10,17.181268269391182,17.35692441468418,17.115138841399116,17.334192276000977,8811200,0.0,0.0,False
2010-11-11,17.22466304686142,17.317658576090423,17.150267254138093,17.29079246520996,6689600,0.0,0.0,False
2010-11-12,17.191597922806224,17.286658856488522,16.95394480027568,17.07380485534668,7630400,0.0,0.0,False
2010-11-15,17.133746724778717,17.13994611524817,16.883693080405802,16.904359817504883,7975600,0.0,0.0,False
2010-11-16,16.85889015653333,16.995281433433888,16.58610602608204,16.63776969909668,12930800,0.0,0.0,False
2010-11-17,16.693568254806177,16.931221501346098,16.65017095221808,16.81962776184082,10762000,0.0,0.0,False
2010-11-18,16.98082291208103,17.139947975773033,16.98082291208103,17.04281997680664,8432000,0.0,0.0,False
2010-11-19,17.12547240711654,17.83843036033918,17.12547240711654,17.733036041259766,19276800,0.0,0.0,False
2010-11-22,17.582184332585637,17.77230630066173,17.582184332585637,17.755773544311523,7275600,0.0,0.0,False
2010-11-23,17.5759798458847,17.747502019160844,17.540847354666724,17.61937713623047,6632000,0.0,0.0,False
2010-11-24,17.656581125001708,17.972762618399198,17.656581125001708,17.881834030151367,8905600,0.0,0.0,False
2010-11-26,17.83636117133482,17.89629120511627,17.751633590229837,17.7640323638916,4050400,0.0,0.0,False
2010-11-29,17.6483096017971,17.6483096017971,17.34245998835244,17.598712921142578,9700400,0.0,0.0,False
2010-11-30,17.46232106066392,17.896295588261633,17.435456518933872,17.79916763305664,13166000,0.0,0.0,False
2010-12-01,18.078149759421095,18.243472536025543,18.061617008765687,18.11121368408203,7963600,0.0,0.0,False
2010-12-02,18.216977527802225,18.250160397093342,18.034476493439957,18.21490478515625,6449200,0.0775,0.0,False
2010-12-03,18.14855335374836,18.246026122826557,18.005454898527393,18.152700424194336,8116400,0.0,0.0,False
2010-12-06,18.148553847527975,18.241877966451923,18.05108107579777,18.19417953491211,4806400,0.0,0.0,False
2010-12-07,18.33104139556103,18.343484180240395,18.067659098954742,18.082176208496094,7686800,0.0,0.0,False
2010-12-08,18.13610411710704,18.1775827216868,17.918347376489464,18.10914421081543,5462800,0.0,0.0,False
2010-12-09,18.279198990671333,18.353858882195592,18.092549261860686,18.140249252319336,6420400,0.0,0.0,False
2010-12-10,18.200391109725143,18.33104512215851,18.146469728075527,18.20868682861328,5095200,0.0,0.0,False
2010-12-13,18.590279275295607,18.772780333014516,18.45962527079478,18.505250930786133,12956400,0.0,0.0,False
2010-12-14,18.453407565703046,18.611021499769574,18.35593483301252,18.515623092651367,7558800,0.0,0.0,False
2010-12-15,18.513547785477552,18.581986285514176,18.339342420562573,18.370450973510742,7000800,0.0,0.0,False
2010-12-16,18.36215255758535,18.50939799885512,18.20246274761562,18.505250930786133,7224400,0.0,0.0,False
2010-12-17,18.53221364727281,18.73752756621201,18.5156222079806,18.675312042236328,11552400,0.0,0.0,False
2010-12-20,18.77485720722992,18.8453700319482,18.58820747385414,18.720935821533203,8692800,0.0,0.0,False
2010-12-21,18.872326240338648,19.181334215970146,18.76448507229656,19.141931533813477,25000000,0.0,0.0,False
2010-12-22,18.042777806051046,18.302013119356378,17.95982218934398,18.032407760620117,33224000,0.0,0.0,False
2010-12-23,18.028259517177737,18.04277663048711,17.717177161479682,17.84575843811035,13772800,0.0,0.0,False
2010-12-27,17.831245124810785,17.851983636494225,17.731698053584427,17.80013656616211,6373600,0.0,0.0,False
2010-12-28,17.8851523755167,17.997142158637768,17.85819248749059,17.903818130493164,8459600,0.0,0.0,False
2010-12-29,17.947378240565037,17.947378240565037,17.679847224656644,17.68399429321289,6960400,0.0,0.0,False
2010-12-30,17.690211829052465,17.860270067999974,17.652881894539785,17.78561019897461,5910000,0.0,0.0,False
2010-12-31,17.710952266982357,17.802201997357336,17.652883825221995,17.715099334716797,5796000,0.0,0.0,False
2011-01-03,17.800131790504597,17.955672959770286,17.681920565152538,17.85405158996582,8566400,0.0,0.0,False
2011-01-04,17.7524289328881,17.783537478162142,17.36876109383183,17.414386749267578,13797600,0.0,0.0,False
2011-01-05,17.348017627240953,17.592735687264014,17.31898341522516,17.528444290161133,11598800,0.0,0.0,False
2011-01-06,17.513934964574666,17.524305008721065,17.329359570944195,17.370838165283203,8057200,0.0,0.0,False
2011-01-07,17.358396722469745,17.41024378744994,17.269219707413942,17.32314109802246,8174400,0.0,0.0,False
2011-01-10,17.265067193421515,17.522228111591847,17.225662930144722,17.45586395263672,8914400,0.0,0.0,False
2011-01-11,17.462088856942533,17.586523064472708,17.341804882441597,17.424758911132812,5563200,0.0,0.0,False
2011-01-12,17.503566122001903,17.522230302363603,17.3542463501221,17.36461639404297,9653600,0.0,0.0,False
2011-01-13,17.385355058805583,17.385355058805583,17.09915829933357,17.121971130371094,9774400,0.0,0.0,False
2011-01-14,17.13441685240842,17.482829156742874,17.08256979272917,17.435129165649414,8390800,0.0,0.0,False
2011-01-18,17.507719605680794,17.623858127614948,17.393656991987367,17.433059692382812,9024400,0.0,0.0,False
2011-01-19,17.43927498088112,17.455866418525268,17.17796695809541,17.350099563598633,10901200,0.0,0.0,False
2011-01-20,17.254703053705146,17.34802872251208,17.109531900779114,17.22774314880371,9431200,0.0,0.0,False
2011-01-21,17.318991865151858,17.329360327504332,17.045239459549354,17.068052291870117,7430400,0.0,0.0,False
2011-01-24,17.005834649817636,17.192484370960077,16.902140536099235,17.142711639404297,8115600,0.0,0.0,False
2011-01-25,17.124049376072037,17.202856348996235,16.9892466842371,17.188339233398438,7434000,0.0,0.0,False
2011-01-26,17.242260208252574,17.455869867829147,17.16967463202465,17.42061424255371,10357600,0.0,0.0,False
2011-01-27,17.435132742287568,17.49112688203924,17.148937483756885,17.16552734375,9769600,0.0,0.0,False
2011-01-28,17.194562362438134,17.209079478164142,16.86066711849298,16.893848419189453,8968000,0.0,0.0,False
2011-01-31,16.906286929198643,17.12197086698779,16.80052007664791,17.10538101196289,7680800,0.0,0.0,False
2011-02-01,17.161374563900903,17.358392732642255,17.134414665916804,17.327285766601562,9705200,0.0,0.0,False
2011-02-02,17.30240566488003,17.408174139274575,17.238115799192727,17.401952743530273,7764400,0.0,0.0,False
2011-02-03,17.33143894471042,17.482833089215983,17.292034664171908,17.379138946533203,10352400,0.0,0.0,False
2011-02-04,17.42268666490637,17.812575990513942,17.38120806713106,17.78146743774414,9636400,0.0,0.0,False
2011-02-07,17.793902501950075,18.00129063562201,17.764868289815677,17.93907356262207,8380800,0.0,0.0,False
2011-02-08,17.976408383456594,18.003368278564366,17.872714288393333,17.982629776000977,6836800,0.0,0.0,False
2011-02-09,17.982633728520973,18.187947638844538,17.928712344207376,18.094623565673828,8368800,0.0,0.0,False
2011-02-10,18.026187428367106,18.134030211114442,17.88931199764549,17.99922752380371,6752400,0.0,0.0,False
2011-02-11,17.928720969155307,17.982642379408812,17.827101127800475,17.878948211669922,7392800,0.0,0.0,False
2011-02-14,17.901749538317326,17.94737519592941,17.72132123291855,17.78768539428711,7376000,0.0,0.0,False
2011-02-15,17.68399348946395,17.75035765907439,17.5491924071825,17.742063522338867,8109600,0.0,0.0,False
2011-02-16,17.735835029912973,17.825012003425265,17.652881030386663,17.78353500366211,8908800,0.0,0.0,False
2011-02-17,17.574083550361152,17.851984686454443,17.503572290040935,17.84368896484375,11937200,0.0,0.0,False
2011-02-18,17.934937375735576,18.422299469056505,17.835390314998133,18.420225143432617,14709200,0.0,0.0,False
2011-02-22,18.167209626410227,18.31652941334663,18.02411281580177,18.090476989746094,10978800,0.0,0.0,False
2011-02-23,18.019959381819625,18.21490478326901,17.79183269332885,17.874788284301758,11854400,0.0,0.0,False
2011-02-24,17.818791366440863,18.026179538533274,17.731688713901132,17.94322395324707,8765200,0.0,0.0,False
2011-02-25,17.974339673539916,18.312383541685495,17.947379770010127,18.24601936340332,8998400,0.0,0.0,False
2011-02-28,18.31030688137914,18.49073520975577,18.239794060931512,18.463773727416992,10352800,0.0,0.0,False
2011-03-01,18.592352349469856,18.62553363852865,18.148541730364524,18.187944412231445,13718400,0.0,0.0,False
2011-03-02,18.17965756111,18.50525710058719,18.090480536552704,18.318607330322266,9465200,0.0,0.0,False
2011-03-03,18.503823681724707,18.728590541039562,18.50174205133863,18.697372436523438,10421200,0.0775,0.0,False
2011-03-04,18.691135493329313,18.730678545026542,18.593319473543087,18.705703735351562,10181600,0.0,0.0,False
2011-03-07,18.730681337893124,18.963774832824157,18.37063532020192,18.50591278076172,16266400,0.0,0.0,False
2011-03-08,18.55377261530056,18.66199358345582,18.48717473001605,18.562097549438477,9622000,0.0,0.0,False
2011-03-09,18.472612160972513,18.65991926700804,18.366471202915825,18.51215362548828,9950400,0.0,0.0,False
2011-03-10,18.366468340694947,18.537125546750115,18.218704310021977,18.351900100708008,9078400,0.0,0.0,False
2011-03-11,18.206226256701576,18.22911785502242,17.787907186463855,18.141708374023438,14917200,0.0,0.0,False
2011-03-14,18.077193004068445,18.08135468002521,17.76501490925421,17.94191551208496,10236000,0.0,0.0,False
2011-03-15,17.61308972203911,17.86075154940715,17.481975477572547,17.758773803710938,9891200,0.0,0.0,False
2011-03-16,17.690091285588963,17.87115514448013,17.492379135760313,17.652629852294922,10024800,0.0,0.0,False
2011-03-17,17.8087135802934,17.844093371233196,17.58394504758288,17.775415420532227,13822000,0.0,0.0,False
2011-03-18,16.231170279124512,16.36852932666873,15.98975351228485,16.14792251586914,78895200,0.0,0.0,False
2011-03-21,16.154176211227327,16.222854184606245,15.94605748358481,15.991842269897461,23426000,0.0,0.0,False
2011-03-22,15.952294210903187,16.02513541796646,14.449677363115514,15.702550888061523,36628400,0.0,0.0,False
2011-03-23,15.646369888082187,16.170828513169848,15.619315018394028,16.070932388305664,48562000,0.0,0.0,False
2011-03-24,16.125034498457666,16.199955755370794,15.90026596426018,15.968945503234863,17726800,0.0,0.0,False
2011-03-25,15.98975505378196,16.150005703546878,15.946050331118801,15.954375267028809,18833600,0.0,0.0,False
2011-03-28,15.958533713274784,16.02304996875421,15.775389923755109,15.794119834899902,14793600,0.0,0.0,False
2011-03-29,15.837830724569827,15.95229663004155,15.737934650539476,15.891942024230957,15672400,0.0,0.0,False
2011-03-30,15.914829615559672,16.025132219643858,15.866961638860674,15.973102569580078,9911200,0.0,0.0,False
2011-03-31,15.918997305646121,15.943972118730986,15.737935071194247,15.754583358764648,13097200,0.0,0.0,False
2011-04-01,15.80453312817574,16.00432687120693,15.779558314864518,15.927322387695312,12892400,0.0,0.0,False
2011-04-04,15.979346449628853,16.141678709629268,15.88985538478004,16.110462188720703,9965200,0.0,0.0,False
2011-04-05,16.062596175233416,16.233253390958936,15.99391664519507,16.218685150146484,12783200,0.0,0.0,False
2011-04-06,16.36645070997734,16.44137355192304,16.283202931391084,16.37269401550293,15684000,0.0,0.0,False
2011-04-07,16.366445686782477,16.366445686782477,16.029293001505838,16.25197982788086,14822800,0.0,0.0,False
2011-04-08,16.37269388037451,16.441373416227787,16.037622725499258,16.10630226135254,10769600,0.0,0.0,False
2011-04-11,16.079245127668692,16.262388942814244,16.077163496866167,16.26030731201172,8329200,0.0,0.0,False
2011-04-12,16.133353023323856,16.31025510193384,16.097973242729417,16.274873733520508,8850000,0.0,0.0,False
