,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2010-09-07,18.879800242984654,18.99788572114213,18.451740604614702,18.498790740966797,10815000,0.0,0.0,False
2010-09-08,18.406552294521575,18.6076667718163,17.926830172426463,17.93421173095703,21383000,0.0,0.0,False
2010-09-09,18.174993358320243,18.18145112175722,17.63899723344237,17.710954666137695,21207000,0.0,0.0,False
2010-09-10,17.78014603924265,18.29215518144772,17.75523702032013,18.279239654541016,14930000,0.0,0.0,False
2010-09-13,18.143628678394904,18.14639654298984,17.620548019779655,17.807823181152344,39157000,0.0,0.0,False
2010-09-14,17.838262838197913,18.566147672896257,17.827191382979723,18.427766799926758,22223000,0.0,0.0,False
2010-09-15,18.83460904487604,19.652902615688998,18.832763215660712,19.389978408813477,45712000,0.0,0.0,False
2010-09-16,19.437951955744833,19.685192790002095,19.21193024069209,19.400127410888672,21782000,0.0,0.0,False
2010-09-17,19.511759741529097,19.774684027551565,19.369688916259367,19.711952209472656,18033000,0.0,0.0,False
2010-09-20,19.74238516203127,20.176902770996094,19.513595646074222,20.176902770996094,17232000,0.0,0.0,False
2010-09-21,20.145541634636157,20.24425391359255,19.80604628396522,20.018230438232422,17864000,0.0,0.0,False
2010-09-22,19.949963959096024,20.285769428403263,19.75346318528983,20.206430435180664,13085000,0.0,0.0,False
2010-09-23,20.030216411035816,20.58927726389948,20.030216411035816,20.243324279785156,18314000,0.0,0.0,False
2010-09-24,20.415833489164847,20.57266554440123,20.25900143392846,20.44074249267578,11947000,0.0,0.0,False
2010-09-27,20.388165698131527,20.711055546486335,20.370636482109212,20.51455307006836,9131000,0.0,0.0,False
2010-09-28,20.537613315488862,20.60957247897799,20.32819710508828,20.572669982910156,9990000,0.0,0.0,False
2010-09-29,20.513634684292676,20.67600255180667,20.438909393263508,20.538543701171875,11578000,0.0,0.0,False
2010-09-30,20.647404790464687,20.877116404503848,20.550536581586123,20.664932250976562,12062000,0.0,0.0,False
2010-10-01,20.75718611693257,20.849440629373962,20.54500197004329,20.73689079284668,9572000,0.0,0.0,False
2010-10-04,20.8107004727322,20.956461204490125,20.203667036425824,20.539472579956055,14600000,0.0,0.0,False
2010-10-05,20.85128156350241,21.03302269693322,20.68983751071375,20.840211868286133,12251000,0.0,0.0,False
2010-10-06,20.84482426459013,20.84482426459013,20.456434734959313,20.600351333618164,8055000,0.0,0.0,False
2010-10-07,20.74067174441577,20.77113695196437,20.379716612833732,20.388948440551758,5982000,0.015,0.0,False
2010-10-08,20.412025978856697,20.591119552750776,20.24493395639865,20.548654556274414,8618000,0.0,0.0,False
2010-10-11,20.522805474117174,20.700051972466063,20.411102657702454,20.573577880859375,4560000,0.0,0.0,False
2010-10-12,20.460956525326715,20.555120122131708,20.30955840751969,20.50619125366211,6982000,0.0,0.0,False
2010-10-13,20.586511832437896,21.362892466599806,20.56989524047463,21.31488800048828,18800000,0.0,0.0,False
2010-10-14,21.308417360238035,21.63429224555181,21.164404019583653,21.47827911376953,19475000,0.0,0.0,False
2010-10-15,21.572442251956634,21.75338115311969,21.32780496923972,21.574289321899414,10996000,0.0,0.0,False
2010-10-18,21.685075188719615,21.86416884226626,21.622301200964074,21.735849380493164,8128000,0.0,0.0,False
2010-10-19,21.565981228267635,22.207578348813453,21.463510219904705,21.883548736572266,15936000,0.0,0.0,False
2010-10-20,21.891857972235123,22.3035873160911,21.679529435561097,22.203886032104492,9217000,0.0,0.0,False
2010-10-21,22.196501659878905,22.732858058251818,22.196501659878905,22.45037078857422,11449000,0.0,0.0,False
2010-10-22,22.525141118965426,22.6386910020723,22.25742518922317,22.39959144592285,6182000,0.0,0.0,False
2010-10-25,22.53437984827534,22.940571541428895,22.45867990301593,22.631311416625977,9933000,0.0,0.0,False
2010-10-26,22.617463566170283,22.705163301215443,22.403289709639715,22.4808349609375,9054000,0.0,0.0,False
2010-10-27,22.39498409895173,22.7300908935499,22.39498409895173,22.687625885009766,9034000,0.0,0.0,False
2010-10-28,22.609148291937235,22.609148291937235,21.917701560289217,22.11156463623047,13105000,0.0,0.0,False
2010-10-29,22.15126633899392,22.478065673761662,22.09126033392086,22.161420822143555,8065000,0.0,0.0,False
2010-11-01,22.396829093652713,22.42821696244224,21.9924844614812,22.062644958496094,8713000,0.0,0.0,False
2010-11-02,22.848252493944837,22.921182706258303,22.4494473647215,22.707931518554688,18490000,0.0,0.0,False
2010-11-03,22.77440521935641,23.263681683356133,22.755941557894158,23.247987747192383,15721000,0.0,0.0,False
2010-11-04,23.309833942663705,23.53877730768347,23.199053759079117,23.53046989440918,11751000,0.0,0.0,False
2010-11-05,23.67817167738356,23.71509722521711,23.416916075158806,23.65970802307129,10195000,0.0,0.0,False
2010-11-08,23.54062854217994,23.621866183985745,23.194442828324355,23.333839416503906,8045000,0.0,0.0,False
2010-11-09,23.367071821289557,23.42984579561878,23.13997375001214,23.2193660736084,6244000,0.0,0.0,False
2010-11-10,23.264597947188662,23.4483065741341,23.162126943252066,23.408611297607422,5776000,0.0,0.0,False
2010-11-11,23.2701416015625,23.52862579457172,23.209212933097255,23.2701416015625,4812000,0.0,0.0,False
2010-11-12,23.080879795475113,23.171349209345077,22.39681622308017,22.44851303100586,11052000,0.0,0.0,False
2010-11-15,22.416210416520514,22.847327787038438,22.130953457527376,22.42636489868164,8058000,0.0,0.0,False
