Dates,SM1_Comdty,Momentum,Basis,Basis_Momentum,Skewness,Inflation_Beta,Volatility,Open_Interest,Value,Return,Log Return
2011-12-30,309.4,-0.0862374483165979,0.0119586296056886,-0.0862374483165979,-0.830496823877527,0.0076778364077611,0.918801981828151,-14564,-0.470073245313152,0.9937752878929349,-0.006244166401076495
2012-01-31,319.3,-0.137726167971915,0.006263701847792,-0.137726167971915,-0.946666601943728,0.0076778364077611,1.66294655696392,7886,-0.48539037826811,1.104278832530462,0.09919248166343926
2012-02-29,351.2,-0.0765185379963185,0.0048405466970387,-0.0765185379963185,-0.809081067584842,0.0080979652229186,0.745379925234035,-7995,-0.56633559133222,0.9974339235309212,-0.002569374486486092
2012-03-30,388.7,0.090628507295174,0.0025726781579624,0.090628507295174,-0.968240062984665,0.0056770682458442,0.604109622686146,59448,-0.588648883688846,0.8776119402985074,-0.13055076448638486
2012-04-30,434.3,0.21278972354091,0.0027630670043747,0.21278972354091,-0.988160795951826,0.0056770682458442,0.566591157426456,-1028,-0.699576585371444,1.032182103610675,0.03167510847975631
2012-05-31,394.5,0.101647584473611,-0.0311787072243346,0.101647584473611,-0.752153112218263,0.0123076798603011,1.60213494752343,-10957,-0.547127070230772,1.20069848661234,0.18290345963260327
2012-06-29,436.0,0.227132001125809,-0.0149082568807339,0.227132001125809,-0.861500733375751,0.0074210706620363,1.0422756887977,22391,-0.634503292262258,1.05623424471592,0.054709983332715505
2012-07-31,544.7,0.549203640500569,-0.0532403157701486,0.549203640500569,-0.453725655368804,0.0074210706620363,0.768535807911681,-17713,-0.7772062657142,1.0203282357329355,0.020124375267921362
2012-08-31,547.1,0.556029579067122,-0.0199232315847194,0.556029579067122,-0.400411115730295,0.0075659337293977,0.565322897370814,10494,-0.731191470269753,1.000205380981721,0.00020535989393454833
2012-09-28,487.0,0.278886554621848,-0.0002053388090349,0.278886554621848,-0.150316937775679,0.0110600438810949,0.82895378003216,-42932,-0.602577232921072,1.0147306397306397,0.014623197698635479
2012-10-31,482.2,0.582540203478831,-0.0145167980091249,0.582540203478831,0.204647574919457,0.0110600438810949,0.442653950316808,9800,-0.541894941028513,0.9643596229018165,-0.03629100113577311
2012-11-30,442.4,0.399557102182853,-0.0169529837251357,0.399557102182853,0.295503133280205,0.0150146929105886,0.52861581298864,-6064,-0.41577682015094,1.0028612303290416,0.002857144800779965
2012-12-31,420.6,0.359405300581771,-0.0028530670470756,0.359405300581771,0.367745424120329,0.0133699942427326,0.721758559170608,-5476,-0.288395593709309,1.0077995745686599,0.007769315125612974
2013-01-31,426.4,0.378151260504202,-0.0077392120075046,0.378151260504202,0.42065169446209,0.0097537443037015,0.45201573600635,70989,-0.286504145226865,0.9194214876033058,-0.0840106245503915
2013-02-28,434.8,0.36172878170999,0.0018399264029438,0.36172878170999,0.445537562525524,0.0105419491167161,0.434730429142474,-4881,-0.279157739354889,1.0102372034956306,0.010185158225231337
2013-03-29,404.6,0.152050113895216,-0.0101334651507663,0.152050113895216,0.692778041460893,0.0089145500817055,0.506297952843437,-12603,-0.158564306159785,1.0272617611580217,0.02689677788402942
2013-04-30,428.3,0.101878055055312,-0.0322204062572963,0.101878055055312,0.800673104226571,0.0133667740092803,0.435088046530957,-9728,-0.231515725046287,1.050258337247534,0.04903616938151029
2013-05-31,447.2,0.02970297029703,-0.0478533094812164,0.02970297029703,0.979650585591993,0.0112371231749106,0.46522474242303,27366,-0.295371761546291,0.9289491837203956,-0.07370124164244254
