Dates,SPGSCI Index,CO1 Comdty,QS1 Comdty,XB1 Comdty,HO1 Comdty,NG1 Comdty,PN1 Comdty,CL1 Comdty,RS1 Comdty,C 1 Comdty,O 1 Comdty,RR1 Comdty,SM1 Comdty,BO1 Comdty,S 1 Comdty,W 1 Comdty,FC1 Comdty,LH1 Comdty,LC1 Comdty,PB1 Comdty,LA1 Comdty,HG1 Comdty,GC1 Comdty,LL1 Comdty,LN1 Comdty,PA1 Comdty,PL1 Comdty,SI1 Comdty,LT1 Comdty,LX1 Comdty,CC1 Comdty,KC1 Comdty,CT1 Comdty,DL1 Comdty,LB1 Comdty,DA1 Comdty,JO1 Comdty,JN1 Comdty,SB1 Comdty
2017-10-30,413.8049,60.9,547.5,176.41,187.77,2.966,98.69,54.15,506.9,348.75,263.25,11.45,312.3,34.68,972.75,424.75,158.325,65.175,119.575,121.0,2149.25,311.2,1277.7,2405.75,11634.5,962.65,922.7,16.847,19527.0,3254.0,2118,125.9,68.64,1.425,448.4,16.71,156.8,188.2,14.73
2017-10-31,415.1419,61.37,551.0,177.96,188.45,2.896,98.69,54.38,514.3,345.75,264.75,11.29,311.8,34.75,973.75,418.5,159.425,68.0,120.5,121.0,2146.25,310.1,1270.5,2409.5,12261.5,979.15,919.6,16.693,19475.0,3309.0,2094,125.1,68.38,1.43,458.4,16.72,156.25,185.9,14.74
2017-11-01,415.1633,60.49,550.5,174.1,186.25,2.893,98.69,54.3,514.6,348.25,271.5,11.2,313.6,34.9,981.0,418.0,159.7,66.6,126.6,121.0,2172.5,314.25,1277.3,2480.0,12757.0,998.15,936.7,17.176,19510.0,3317.5,2123,122.95,68.17,1.43,466.4,16.63,152.9,190.0,14.61
2017-11-02,415.7047,60.62,544.5,176.97,185.39,2.935,98.69,54.54,518.4,350.5,264.5,11.15,317.4,34.86,989.0,426.0,157.925,65.8,124.325,121.0,2159.1,314.35,1278.1,2441.75,12567.0,994.0,927.8,17.137,19760.0,3291.0,2052,126.4,69.08,1.42,449.0,16.56,155.75,189.5,14.23
2017-11-03,420.5946,62.07,550.25,179.34,188.66,2.984,98.69,55.64,514.3,348.25,263.0,11.285,313.9,34.42,977.0,425.75,160.875,65.1,127.3,121.0,2170.0,311.75,1269.2,2462.25,12683.0,991.5,921.9,16.834,19665.0,3247.0,2061,123.95,68.72,1.42,449.0,16.54,157.85,189.5,14.38
2017-11-06,429.4419,64.27,565.5,183.0,194.22,3.134,98.69,57.35,516.4,348.0,269.0,11.24,316.1,34.73,984.0,430.75,160.15,64.625,125.325,121.0,2155.0,315.75,1281.6,2507.0,12871.0,995.1,935.0,17.235,19553.0,3260.0,2117,125.55,68.85,1.48,461.6,16.56,160.4,194.5,14.56
2017-11-07,427.5842,63.69,563.5,181.53,192.19,3.152,98.69,57.2,517.6,347.75,270.5,11.24,315.5,35.02,986.0,427.25,159.875,63.925,124.625,121.0,2115.75,308.9,1275.8,2492.0,12602.0,994.1,925.3,16.94,19610.0,3198.0,2163,124.7,68.07,1.468,464.8,16.47,160.05,194.9,14.72
2017-11-08,427.3942,63.49,563.0,182.13,192.16,3.175,98.69,56.81,518.3,348.25,269.5,11.14,315.2,35.37,988.0,426.75,157.325,63.55,122.925,121.0,2093.25,309.95,1283.7,2505.0,12652.5,1015.8,937.9,17.138,19552.0,3227.5,2216,125.75,68.63,1.446,461.8,16.5,161.3,191.3,14.84
2017-11-09,429.1921,63.93,570.0,181.97,194.69,3.2,98.69,57.17,513.0,341.5,273.0,11.175,311.8,35.14,975.25,429.0,158.475,63.175,122.475,121.0,2077.0,308.6,1287.5,2511.75,12248.0,1004.4,940.6,16.975,19520.0,3215.5,2198,126.4,68.29,1.44,462.7,16.74,161.35,190.1,14.88
2017-11-10,428.5886,63.52,570.0,181.24,193.49,3.213,98.69,56.74,512.6,343.5,272.0,11.165,314.5,34.81,977.25,431.5,158.475,62.475,120.575,121.0,2085.0,307.6,1274.2,2514.75,12056.0,993.1,932.1,16.871,19520.0,3261.25,2223,127.55,69.05,1.456,471.0,16.77,162.6,187.6,14.96
