Dates,SPGSCI Index,CO1 Comdty,QS1 Comdty,XB1 Comdty,HO1 Comdty,NG1 Comdty,PN1 Comdty,CL1 Comdty,RS1 Comdty,C 1 Comdty,O 1 Comdty,RR1 Comdty,SM1 Comdty,BO1 Comdty,S 1 Comdty,W 1 Comdty,FC1 Comdty,LH1 Comdty,LC1 Comdty,PB1 Comdty,LA1 Comdty,HG1 Comdty,GC1 Comdty,LL1 Comdty,LN1 Comdty,PA1 Comdty,PL1 Comdty,SI1 Comdty,LT1 Comdty,LX1 Comdty,CC1 Comdty,KC1 Comdty,CT1 Comdty,DL1 Comdty,LB1 Comdty,DA1 Comdty,JO1 Comdty,JN1 Comdty,SB1 Comdty
2014-12-01,492.9434,72.54,646.75,188.1,221.24,4.007,98.69,69.0,422.4,375.5,295.75,12.14,384.4,32.22,1017.0,606.75,234.075,90.125,169.95,121.0,2028.0,293.05,1218.0,2057.0,16250.5,808.1,1241.6,16.648,20323.0,2231.5,2933,189.35,60.18,2.168,326.6,21.89,146.55,184.5,15.59
2014-12-02,481.9978,70.54,641.0,181.16,215.44,3.874,98.69,66.88,416.9,367.75,296.0,12.185,383.1,31.17,995.75,605.25,235.55,89.5,168.625,121.0,1971.5,291.35,1199.2,2025.75,16279.0,803.05,1217.5,16.408,20403.0,2207.5,2896,182.3,60.75,2.05,328.9,21.91,145.75,184.5,15.24
2014-12-03,480.0367,69.92,634.0,180.7,213.34,3.805,98.69,67.38,412.3,368.75,295.25,12.14,381.1,31.86,998.25,597.0,234.825,88.05,166.85,121.0,1960.0,289.3,1208.5,2025.0,16540.0,796.85,1227.5,16.359,20455.0,2210.0,2889,182.55,61.01,2.26,331.2,17.85,147.75,184.1,15.09
2014-12-04,478.051,69.64,622.0,179.48,211.77,3.649,98.69,66.81,412.7,376.0,298.75,12.12,385.7,31.6,1010.5,599.75,235.95,87.625,166.45,121.0,1982.5,293.25,1207.5,2036.5,17063.0,801.45,1245.9,16.52,20404.0,2232.5,2902,181.55,61.52,1.771,333.5,17.77,146.15,185.8,15.21
2014-12-05,475.8299,69.07,618.5,177.34,210.78,3.802,98.69,65.84,422.7,381.5,299.5,12.065,394.2,32.01,1036.0,609.0,234.875,86.6,164.45,121.0,1968.75,292.55,1190.1,2033.5,16739.5,803.2,1219.5,16.196,20196.0,2231.0,2929,179.1,60.54,1.73,339.0,17.8,146.0,183.3,15.14
2014-12-08,463.5904,66.19,601.5,170.66,205.49,3.595,98.69,63.05,429.1,377.5,304.75,12.045,401.5,31.77,1043.75,610.0,231.875,86.575,161.45,121.0,1948.5,291.05,1194.7,2028.5,16615.0,798.3,1229.4,16.216,20450.0,2208.0,2937,177.05,60.21,1.715,341.6,17.8,147.0,185.8,15.3
2014-12-09,467.8097,66.84,604.0,172.36,208.4,3.652,98.69,63.82,433.9,383.0,301.0,12.29,411.6,31.91,1049.25,600.5,232.775,86.95,162.4,121.0,1955.0,294.65,1231.5,2014.75,16476.0,812.1,1246.8,17.081,20538.0,2209.25,2986,179.45,59.88,1.71,333.9,17.85,147.45,180.7,15.42
2014-12-10,456.3076,64.24,581.75,164.18,204.64,3.706,98.69,60.94,431.9,382.5,304.5,12.26,405.2,31.67,1032.0,593.25,231.6,87.275,162.475,121.0,1938.75,291.4,1228.9,2004.25,16258.5,821.8,1242.6,17.133,20234.0,2166.75,2975,177.55,59.57,1.675,331.8,17.87,148.05,181.4,15.47
2014-12-11,454.2156,63.68,581.75,162.44,206.14,3.634,98.69,59.95,435.0,390.0,304.75,12.085,406.1,31.93,1042.25,610.25,228.6,87.55,162.4,121.0,1928.25,294.1,1225.1,1970.25,16212.0,819.6,1242.2,17.059,20391.0,2181.25,2888,175.4,60.48,1.737,336.2,17.75,149.5,180.0,15.15
2014-12-12,447.693,61.85,566.0,159.73,201.6,3.795,98.69,57.81,439.8,396.25,300.75,12.35,378.9,31.97,1047.25,627.5,225.6,87.525,162.05,121.0,1913.5,294.65,1222.0,1982.75,16609.0,816.55,1231.5,17.019,20404.0,2178.75,2891,173.0,60.54,1.718,340.3,17.75,150.95,179.7,14.98
2014-12-15,441.534,61.06,555.75,157.64,200.17,3.719,98.69,55.91,440.0,408.5,313.75,12.43,365.4,32.27,1039.5,619.0,222.6,83.275,161.975,121.0,1895.75,289.8,1207.2,1953.0,16377.0,801.75,1214.9,16.527,20408.0,2158.75,2910,177.65,60.65,1.664,336.6,17.78,148.0,182.0,14.96
2014-12-16,436.5531,59.86,551.0,154.1,196.0,3.619,98.69,55.93,441.1,406.0,314.0,12.08,356.6,31.77,1023.5,623.25,219.6,81.675,158.975,121.0,1891.5,287.75,1193.9,1911.5,15954.0,784.0,1196.5,15.715,20058.0,2128.75,2914,176.7,59.78,1.589,333.5,17.79,148.0,181.5,14.71
2014-12-17,440.3257,61.18,548.0,156.62,200.85,3.702,98.69,56.47,443.4,408.25,315.0,12.115,359.3,31.77,1027.0,648.5,216.6,80.475,156.425,121.0,1907.75,288.75,1194.3,1875.25,15579.0,779.25,1199.5,15.891,19460.0,2131.5,2915,170.85,60.65,1.62,336.1,17.8,149.1,182.3,14.72
2014-12-18,433.1504,59.27,544.25,152.72,193.87,3.642,98.69,54.11,442.1,411.0,316.25,12.11,365.3,31.89,1035.0,655.25,217.075,81.875,158.7,121.0,1897.5,287.25,1194.7,1856.5,15603.0,792.15,1197.1,15.894,19110.0,2119.0,2965,173.65,60.82,1.642,339.7,17.77,145.45,180.2,14.99
2014-12-19,440.7062,61.38,548.75,155.95,196.22,3.464,98.69,56.52,442.4,410.5,310.5,12.31,363.5,31.97,1030.5,632.25,220.15,81.9,160.75,121.0,1894.0,290.8,1195.9,1871.75,15555.0,805.1,1197.0,15.991,19187.0,2174.5,2980,174.7,60.89,1.622,340.6,17.73,142.75,184.0,14.98
2014-12-22,433.2219,60.11,548.0,153.5,195.14,3.144,98.69,55.26,445.5,411.75,309.75,12.16,368.4,32.04,1038.25,625.75,220.5,80.25,161.85,121.0,1866.0,290.35,1179.7,1869.5,15603.0,815.25,1182.1,15.649,19072.0,2161.5,2986,172.15,62.04,1.607,339.1,17.71,142.1,192.5,14.86
2014-12-23,439.8667,61.69,550.5,157.04,199.07,3.171,98.69,57.12,445.3,414.0,309.0,12.185,371.3,32.22,1038.5,635.5,217.125,81.65,161.85,121.0,1854.25,290.2,1177.9,1854.25,15400.0,814.05,1191.7,15.73,18417.0,2157.75,2966,171.0,61.82,1.609,338.2,17.74,140.75,192.5,14.83
2014-12-24,431.5971,60.24,543.75,151.27,192.36,3.03,98.69,55.84,451.6,407.75,307.75,12.125,371.4,31.93,1028.75,611.5,214.75,81.3,162.5,121.0,1845.0,287.45,1173.5,1857.5,15285.0,807.8,1191.1,15.673,19061.0,2148.5,2964,170.15,61.78,1.634,338.9,17.73,143.7,188.2,14.76
2014-12-25,431.5971,60.24,543.75,151.27,192.36,3.03,98.69,55.84,451.6,407.75,307.75,12.125,371.4,31.93,1028.75,611.5,214.75,81.3,162.5,121.0,1845.0,287.45,1173.5,1857.5,15285.0,807.8,1191.1,15.673,19061.0,2148.5,2964,170.15,61.78,1.634,338.9,17.73,143.7,188.5,14.76
2014-12-26,429.1606,59.45,539.0,150.87,190.79,3.007,98.69,54.73,451.6,414.75,306.0,12.165,379.7,32.46,1047.5,610.75,213.725,81.55,164.75,121.0,1845.0,283.55,1195.3,1857.5,15285.0,818.6,1218.5,16.112,19061.0,2148.5,2941,168.6,61.63,1.658,338.5,17.72,141.55,189.0,14.7
2014-12-29,424.1874,57.88,535.25,145.28,184.91,3.189,98.69,53.61,453.6,412.75,303.25,11.82,377.4,32.79,1041.75,615.5,217.45,81.8,166.5,121.0,1844.5,283.8,1181.7,1829.0,14990.0,812.0,1201.7,15.744,19293.0,2133.75,2964,165.15,62.01,1.659,336.7,17.74,141.25,189.8,14.6
2014-12-30,423.8376,57.9,525.75,145.37,186.88,3.094,98.69,54.12,458.4,406.5,305.0,11.64,369.5,32.89,1037.75,602.0,218.325,81.175,165.875,121.0,1841.25,285.4,1200.4,1882.75,15015.0,804.2,1218.1,16.276,19403.0,2177.5,2972,164.8,61.98,1.639,335.7,17.75,141.5,196.7,14.61
2014-12-31,418.1225,57.33,512.25,143.53,184.66,2.889,98.69,53.27,452.3,397.0,303.75,11.49,364.6,31.97,1019.25,589.75,219.45,81.2,165.7,121.0,1833.75,282.55,1184.1,1851.0,15088.0,798.4,1208.9,15.599,19448.0,2168.0,2910,166.6,60.27,1.627,331.1,15.91,140.05,196.7,14.52
2015-01-01,418.1225,57.33,512.25,143.53,184.66,2.889,98.69,53.27,452.3,397.0,303.75,11.49,364.6,31.97,1019.25,589.75,219.45,81.2,165.7,121.0,1833.75,282.55,1184.1,1851.0,15088.0,798.4,1208.9,15.599,19448.0,2168.0,2910,166.6,60.27,1.627,331.1,15.91,140.05,196.7,14.52
2015-01-02,414.9583,56.42,519.25,143.34,179.57,3.003,98.69,52.69,455.3,395.75,302.25,11.29,356.5,31.95,1002.5,581.25,223.95,81.3,165.675,121.0,1812.0,281.75,1186.2,1866.5,14768.0,794.85,1203.0,15.768,19689.0,2195.5,2927,161.05,59.58,1.63,332.0,15.92,144.45,196.7,14.17
2015-01-05,404.6091,53.11,495.5,138.14,174.92,2.882,98.69,50.04,461.7,406.0,306.0,11.33,369.0,32.7,1039.75,589.0,225.675,79.925,166.225,121.0,1794.25,276.6,1204.0,1837.0,15136.0,793.2,1210.1,16.213,19527.0,2174.0,2944,168.1,60.71,1.604,329.0,15.72,146.35,197.2,14.26
2015-01-06,397.9523,51.1,487.5,135.43,172.62,2.938,98.69,47.93,462.4,405.0,304.5,11.36,370.8,32.69,1051.0,591.75,224.7,78.575,166.025,121.0,1762.0,276.7,1219.4,1836.0,15200.0,800.4,1220.8,16.637,19795.0,2164.0,2902,174.9,60.2,1.496,319.7,15.65,142.6,196.1,14.87
2015-01-07,396.6795,51.15,477.5,133.76,169.99,2.871,98.69,48.65,463.2,396.25,301.75,11.41,368.5,32.98,1052.75,579.5,225.65,79.325,165.9,121.0,1768.0,275.85,1210.7,1840.0,15491.0,792.45,1220.7,16.544,19706.0,2122.5,2912,175.05,60.43,1.471,327.3,15.8,143.2,193.1,14.78
2015-01-08,397.101,50.96,479.75,134.09,171.1,2.927,98.69,48.79,465.7,394.25,302.25,11.295,361.3,33.58,1045.0,567.0,225.625,78.175,163.6,121.0,1816.0,276.95,1208.5,1841.25,15492.0,793.1,1221.7,16.385,19786.0,2148.25,2986,176.9,60.56,1.464,324.9,16.0,141.7,189.1,14.88
2015-01-09,395.0057,50.11,469.0,132.32,170.3,2.946,98.69,48.36,466.0,400.25,303.25,11.325,363.8,33.54,1051.5,563.75,222.425,79.025,160.6,121.0,1794.25,275.45,1216.1,1860.0,15241.0,800.15,1229.1,16.419,19556.0,2146.0,2968,180.05,60.76,1.476,323.0,15.97,140.75,191.1,14.91
