Dates,SPGSCI Index,CO1 Comdty,QS1 Comdty,XB1 Comdty,HO1 Comdty,NG1 Comdty,PN1 Comdty,CL1 Comdty,RS1 Comdty,C 1 Comdty,O 1 Comdty,RR1 Comdty,SM1 Comdty,BO1 Comdty,S 1 Comdty,W 1 Comdty,FC1 Comdty,LH1 Comdty,LC1 Comdty,PB1 Comdty,LA1 Comdty,HG1 Comdty,GC1 Comdty,LL1 Comdty,LN1 Comdty,PA1 Comdty,PL1 Comdty,SI1 Comdty,LT1 Comdty,LX1 Comdty,CC1 Comdty,KC1 Comdty,CT1 Comdty,DL1 Comdty,LB1 Comdty,DA1 Comdty,JO1 Comdty,JN1 Comdty,SB1 Comdty
2009-02-16,333.867,43.28,398.25,120.63,130.0,4.452,67.38,37.51,423.0,363.25,184.5,12.51,297.7,33.0,955.5,535.5,94.475,58.825,84.05,77.8,1312.5,153.85,941.5,1137.0,10220.0,216.5,1061.0,13.625,11350.0,1103.75,2752,112.35,44.03,1.595,155.0,9.27,68.0,133.2,13.26
2009-02-17,313.22,41.03,379.0,111.18,118.64,4.203,64.06,34.93,414.5,349.25,176.0,12.08,283.5,31.15,903.0,515.5,91.625,61.05,81.25,77.8,1304.5,142.3,967.0,1101.75,9845.0,217.9,1098.3,14.01,11045.0,1091.75,2693,110.35,43.53,1.541,150.0,9.27,66.4,133.0,12.98
2009-02-18,306.774,39.55,365.25,106.52,114.69,4.214,62.5,34.62,412.6,349.25,171.5,12.155,277.4,30.42,887.5,510.75,89.025,60.8,79.925,78.0,1310.5,143.6,977.7,1059.5,9644.0,219.1,1098.9,14.29,11030.0,1101.0,2643,108.85,43.89,1.54,149.5,9.27,66.25,128.5,12.69
2009-02-19,317.914,41.99,370.75,109.86,120.45,4.078,63.25,39.48,413.9,353.25,171.5,12.29,276.5,30.42,884.5,519.5,90.625,60.575,81.2,78.0,1324.0,147.1,976.1,1063.0,9843.0,216.6,1076.5,13.935,11190.0,1112.5,2655,109.7,43.42,1.545,150.9,9.28,67.4,124.6,12.84
2009-02-20,314.997,41.89,364.0,107.46,119.67,4.006,61.63,38.94,408.1,350.25,168.5,11.985,270.0,30.22,862.5,519.25,88.375,57.95,80.675,76.0,1278.75,141.6,1001.8,1022.0,9442.0,216.55,1095.7,14.49,10815.0,1085.25,2528,108.9,43.03,1.519,146.3,9.28,66.7,123.6,12.71
2009-02-23,310.305,40.99,375.5,104.33,117.54,4.097,62.08,38.44,414.1,351.75,177.0,12.08,276.3,30.31,872.75,510.5,88.75,58.225,81.1,77.4,1261.0,143.7,994.6,1015.5,9446.0,200.25,1079.5,14.45,10665.0,1079.75,2406,110.85,42.66,1.548,143.3,9.28,68.25,123.6,12.68
2009-02-24,317.244,42.5,372.75,108.37,120.82,4.236,62.79,39.96,409.7,354.25,177.0,12.0,278.8,30.51,881.0,515.25,90.75,57.7,82.2,77.5,1300.75,148.7,969.1,986.75,9739.0,201.4,1048.7,13.995,10780.0,1093.5,2389,111.2,42.78,1.545,139.7,9.28,69.1,125.2,12.83
2009-02-25,327.16,44.29,376.75,116.67,123.77,4.056,63.38,42.5,419.8,363.75,181.5,12.34,272.8,31.9,878.0,524.75,90.6,59.1,81.95,76.8,1315.25,152.45,965.7,1021.75,10016.0,200.45,1059.1,13.875,11000.0,1127.5,2500,110.65,42.56,1.577,146.0,9.29,69.15,129.8,13.18
2009-02-26,339.04,46.51,400.25,130.04,129.41,4.077,64.88,45.22,419.5,362.0,185.0,12.315,269.0,31.64,869.25,514.0,92.3,58.975,82.95,75.65,1336.25,156.5,942.6,1036.5,9996.0,197.15,1052.1,12.95,11160.0,1119.5,2492,110.7,43.08,1.574,149.0,9.28,69.0,135.0,13.7
2009-02-27,336.24,46.35,386.5,128.07,126.59,4.198,64.67,44.76,407.1,350.75,184.5,12.365,275.8,30.85,874.5,510.5,92.6,60.9,82.525,77.7,1314.5,152.6,942.5,1039.25,9941.0,194.85,1085.3,13.085,11145.0,1108.5,2508,109.45,42.06,1.54,147.0,10.23,69.55,133.3,13.47
2009-03-02,314.613,42.21,366.0,128.62,115.12,4.152,61.33,40.15,407.3,343.5,181.5,12.17,267.8,30.1,848.5,494.75,91.45,60.275,83.95,76.5,1287.25,150.75,940.0,1022.0,9482.0,193.25,1075.9,13.05,10980.0,1079.5,2288,103.55,40.29,1.51,149.5,10.27,68.95,128.5,12.75
2009-03-03,321.088,43.7,361.25,131.94,117.96,4.282,61.71,41.65,407.9,343.5,175.75,12.095,271.7,30.19,863.0,490.25,91.975,60.85,84.225,76.5,1284.5,159.6,913.6,1071.0,9583.0,192.3,1036.3,12.695,11120.0,1113.0,2305,104.1,40.52,1.492,165.4,10.2,71.05,127.0,12.69
2009-03-04,338.126,46.12,382.25,138.16,121.45,4.34,62.33,45.38,412.5,355.25,178.75,12.13,274.2,30.74,875.5,511.75,93.025,62.325,84.65,79.5,1328.75,168.55,906.7,1177.0,9966.0,199.8,1044.8,12.9,11170.0,1204.5,2345,106.3,40.76,1.549,157.8,10.2,69.45,129.8,13.26
