,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2010-09-07,42.58002627258274,42.70610182539607,42.19084270471989,42.23469543457031,5880200,0.0,0.0,False,,,,,
2010-09-08,42.29500245180397,42.689664572907965,42.24566707289876,42.34433364868164,6940700,0.0,0.0,False,,,,,
2010-09-09,42.695138151867,42.90891499036569,42.35528575583046,42.40462112426758,6646200,0.0,0.0,False,,,,,
2010-09-10,42.93631585269301,43.20490646362305,42.7225390547246,43.20490646362305,8223500,0.0,0.0,False,,,,,
2010-09-13,43.50639952348519,43.583139717113966,43.12269437331442,43.44062042236328,8586400,0.0,0.0,False,,,,,
2010-09-14,43.44062202688952,43.84077092161397,43.40225192865789,43.5831413269043,8447300,0.0,0.0,False,,,,,
2010-09-15,43.336466905082695,43.48446882234891,43.04046725257674,43.4186897277832,7240700,0.0,0.0,False,,,,,
2010-09-16,43.29809819829735,43.3748383867343,42.969211078992345,43.33098983764648,6905600,0.0,0.0,False,,,,,
2010-09-17,43.53380773674476,43.70373604903918,42.88699449575794,43.00758743286133,12326500,0.0,0.0,False,,,,,
2010-09-20,43.05145220276389,43.92300364846466,43.01308209223672,43.79693222045898,7730700,0.0,0.0,False,,,,,
2010-09-21,43.87366949154508,43.97781871969966,43.35841017165791,43.71470642089844,8598700,0.0,0.0,False,3.9779112559148433,,,,
2010-09-22,43.81336029800028,44.07098988319412,43.4351377850964,43.44062042236328,6776600,0.0,0.0,False,2.772255759448912,,,,
2010-09-23,43.04047591697869,43.50640394540124,42.8431469576106,43.05144119262695,6802000,0.0,0.0,False,1.5200060128102997,,,,
2010-09-24,43.44610830777466,44.01069873568422,43.14462595208148,43.91751480102539,8256000,0.0,0.0,False,1.604676343017593,,,,
2010-09-27,44.01616938648643,44.18609347776778,43.890093840614725,43.89557647705078,8380700,0.0,0.0,False,1.0259643074315778,,,,
2010-09-28,44.09838420977185,44.50949408437641,43.621499431727145,44.33408737182617,7826200,0.0,0.0,False,1.6283000585141196,,,,
2010-09-29,44.25735649689326,44.78357674512617,44.1203198432276,44.5533561706543,8851100,0.0,0.0,False,2.504778496362831,,,,
2010-09-30,44.778101580017164,45.05217490748545,44.03262179474126,44.42728805541992,10120300,0.0,0.0,False,2.414987237721687,,,,
2010-10-01,44.887732501161445,45.14536211683351,44.66299453095494,44.92061996459961,9570600,0.0,0.0,False,4.384742213227928,,,,
2010-10-04,44.88774274859523,45.02477945357495,44.22448559833678,44.56981658935547,7602500,0.0,0.0,False,1.8572708656203476,,,,
2010-10-05,45.04668502012861,45.77023832091472,44.920609469691954,45.70994186401367,11597600,0.0,0.0,False,3.8129402860310027,,,,
2010-10-06,45.65513688056827,46.2087661910786,45.61128414305657,45.98402404785156,8650300,0.0,0.0,False,5.157403025643466,,,,
2010-10-07,46.27452545451981,46.318378177190326,45.4632709952443,45.781192779541016,7714000,0.0,0.0,False,5.885488435165751,,,,
2010-10-08,45.75379166462108,46.09912247402113,45.46875312623671,46.01142120361328,6879000,0.0,0.0,False,4.964588523865803,,,,
2010-10-11,45.96208945958988,46.04431228221341,45.68801617219575,45.88534927368164,4790700,0.0,0.0,False,4.64277866242267,,,,
2010-10-12,45.6934997989393,46.14297983272336,45.29335095058231,45.95660781860352,8528900,0.0,0.0,False,3.812995224872087,,,,
2010-10-13,45.74284089357623,46.10461972651941,45.41943634475807,45.86343383789063,11647800,0.0,0.0,False,3.0173989917213824,,,,
